,perturbSolution!,,,,perturbSolution30!,,,,perturbSolution28a!,,,
Instances,#C,#U,CPUt (s),r (%),#C,#U,CPUt (s),r (%),#C,#U,CPUt (s),r (%)
sppnw21,1.0,4.0,0.2807735685,92.95346244378537,1.0,4.0,0.28784183080000003,92.95346244378537,6.0,4.0,0.3031648001000001,92.95346244378537
sppnw22,12.1,4.0,0.3069398524,93.28850683410552,10.7,5.0,0.31451057179999997,94.14032991605106,28.0,4.0,0.3311954168,93.28850683410552
sppnw23,10.2,3.0,0.3722599596,92.36200797931052,12.9,3.2,0.3736296874,92.36239870061722,18.0,3.0,0.3721985164,92.36200797931052
sppnw24,6.0,4.2,0.5041213354,76.7791356210112,8.5,4.8,0.5235789610999999,80.74172619441927,21.0,4.0,0.5554344526999999,76.43830085840841
sppnw25,1.0,7.0,0.4106858999,85.17032260619422,1.2,7.0,0.41336663930000006,85.17032260619422,4.0,7.0,0.4116548968,85.17032260619422
sppnw26,15.3,2.0,0.38463644599999997,65.46317161175217,25.7,3.1,0.39948271320000006,73.4059915313514,39.0,2.0,0.4164892486999999,65.46317161175217
sppnw27,2.0,1.0,0.38978563750000006,,5.8,1.0,0.4364553647,,8.0,1.0,0.44056518860000005,
sppnw28,4.3,3.0,0.3899595519000001,92.40311215502057,4.1,3.0,0.40417235290000003,92.40311215502057,16.0,3.0,0.4206830416,92.40311215502057
sppnw29,4.7,3.0,0.708269845,78.44866545903425,7.1,3.0,0.7475218328000002,78.44866545903425,8.0,4.0,0.7357303403,80.40722196662686
sppnw30,6.7,3.0,0.6968869760999999,86.2053365425773,6.6,3.1,0.7006538607999999,83.98088407319673,12.0,3.0,0.7044089515,83.77556482894796
sppnw31,5.6,6.0,0.7910839325,83.99935219342,6.2,6.1,0.8019439795000001,84.05348839475344,9.0,7.0,0.7826405687,84.0740112297674
sppnw32,6.2,4.0,0.24341836030000003,97.59233953862419,8.9,4.9,0.2521358762,98.66816699126855,17.0,4.0,0.27222554760000006,97.59233953862419
sppnw33,8.1,5.1,0.8787637126,79.7744470822569,10.3,5.5,0.9082291211000001,83.4313285897525,25.0,5.0,0.9880963401,79.7406905971527
sppnw34,3.0,6.2,0.33948796470000003,85.78290606768985,4.8,6.1,0.3560753229,85.85544723756031,14.0,6.0,0.3729482867999999,84.27646833393273
sppnw35,6.1,4.0,0.5434478045000001,89.70312827091138,11.7,4.8,0.5712922319999999,92.34957488782274,13.0,5.0,0.5586365558999999,92.36751705758617
sppnw36,8.3,2.0,0.6168126063000001,86.13599217705293,13.3,2.0,0.6525247021999999,86.13599217705293,27.0,2.0,0.6718837273,86.13599217705293
sppnw37,0.0,4.0,0.2835144853,88.23943595169168,0.0,4.0,0.28083820509999996,88.23943595169168,0.0,4.0,0.2826003915,88.23943595169168
sppnw38,13.3,4.8,0.4833853682,47.6104808549036,16.4,3.6,0.5060101884,91.19072651952581,30.0,5.0,0.5314026444999999,66.33623349612772
sppnw39,7.9,3.4,0.36616860040000004,80.49994893651203,16.2,5.6,0.3981265559,66.62583942559264,34.0,4.0,0.41836752400000005,62.90523898252552
sppnw40,4.5,4.9,0.2656110834,59.25992749355104,7.3,4.2,0.2821152581,62.97369567249383,17.0,4.0,0.288510851,63.798812722361696
sppnw41,1.0,3.0,0.2139982785,83.74833372317015,1.0,3.0,0.2125054139,83.74833372317015,6.0,3.0,0.21981816980000005,83.74833372317015
sppnw42,8.5,4.0,0.43583377589999994,95.70313538315828,13.9,4.0,0.4503981897999999,95.70313538315828,28.0,4.0,0.47292247,95.70313538315828
sppnw43,11.3,4.0,0.43200473730000005,79.41835397540152,13.3,4.4,0.4453673025999999,79.87115540691913,26.0,4.0,0.4887002898,79.41835397540152
,perturbSolution!,,,,perturbSolution30!,,,,perturbSolution28a!,,,
